username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
jenengku_imam,positif,kirab adipura juga ada mobil hias nya ta min ?,The floating adipura also has a decorated car of its own.,the floating adipura also has a decorated car of its own.,the floating adipura also has a decorated car of its own,float adipura also decorate car own,float adipura decorate car
sonys2648,negatif,Jangan lewat Jalan Depan New Era. .masih berantakan...,"Do not pass through the front road of New Era, it's still messy.","do not pass through the front road of new era, it's still messy.",do not pass through the front road of new era  it s still messy,pass front road new era s still messy,pass road new era s messy
novita.1208,positif,Ada mobil hias juga kah,"There is also a decorative car, isn't there?","there is also a decorative car, isn't there?",there is also a decorative car  isn t there,also decorative car isn t there,decorative car isn t
st.budi27,positif,mantab guss 🔥🔥🔥,"That's awesome, dude!","that's awesome, dude!",that s awesome  dude,s awesome dude,s awesome dude
muhammadirwan92,positif,Lanjutkan Gus perjuangan nya Gus terima kasih,"May Gus continue his struggle, thank you, Gus.","may gus continue his struggle, thank you, gus.",may gus continue his struggle  thank you  gus,gus continue struggle thank gus,gus continue struggle thank gus
febyan_06,negatif, 1 periode saja deh 😢😢,"That's it, period.","that's it, period.",that s it  period,s period,s period
febyan_06,negatif, 1 periode saja deh 😢😢,"That's just the period, okay?","that's just the period, okay?",that s just the period  okay,s just period,s period
adhityokutil,positif,Lanjutkan gus....mantab,"Continue, Bro, You're Awesome!","continue, bro, you're awesome!",continue  bro  you re awesome,continue bro re awesome,continue bro awesome
beltsazarpareme,negatif,"Ada tulisan ""Diganjar"" langsung teringat 16% janggar...😢😂",There is a written award directly recalled at 100% anchor.,there is a written award directly recalled at 100% anchor.,there is a written award directly recalled at  % anchor,write award directly recall % anchor,write award directly recall % anchor
sang_fajar_senja,negatif,Habis parade Jangan lupa pengendalian banjir dan dumtruk biar makin bagus,"After the parade, don't forget to control the flood and trucks so that it gets even better.","after the parade, don't forget to control the flood and trucks so that it gets even better.",after the parade  don t forget to control the flood and trucks so that it gets even better,parade don t forget control flood truck get even well,parade don t forget control flood truck
aziswakandala,positif,"Alhamdulillah gus @fandiakhmadyani , ini adalah titik awal untuk Pemkab Gresik berbenah dalam hal pengelolaan sampah dan RTH. Tetap semangat dan sehat selalu teman teman ❤","Praise be to God, this is the starting point for Gresik Regency to improve in terms of waste management and RTH, always stay spirited and healthy, friends!","praise be to god, this is the starting point for gresik regency to improve in terms of waste management and rth, always stay spirited and healthy, friends!",praise be to god  this is the starting point for gresik regency to improve in terms of waste management and rth  always stay spirited and healthy  friends,praise god starting point gresik regency improve term waste management rth always stay spirited healthy friend,praise god starting point gresik regency improve term waste management rth stay spirited healthy friend
prisllllll_io,positif,Gussss aku rakyatmu 😂,I'm proud to be your citizen.,i'm proud to be your citizen.,i m proud to be your citizen,m proud citizen,m proud citizen
jenengku_imam,positif,Selamat Hari Jadi Kota Gresik... Gresik Baru Tambah Maju,Happy anniversary to the new and increasingly advanced Gresik City.,happy anniversary to the new and increasingly advanced gresik city.,happy anniversary to the new and increasingly advanced gresik city,happy anniversary new increasingly advanced gresik city,happy anniversary new increasingly advanced gresik city
sae_z144,positif,bagus,Good.,good.,good,good,good
momobaby.co,positif,Jaya terus Gresik Tercinta ❤️,"Forward ever, beloved Gresik.","forward ever, beloved gresik.",forward ever  beloved gresik,forward ever beloved gresik,forward beloved gresik
ranggagitahomaya,negatif,"Salam Gresik Baru Lebih Maju,dan siltap Para Perangkat Desa cepat keluar...",The new Gresik Salam is more advanced and swiftly issues village devices to the village apparatus.,the new gresik salam is more advanced and swiftly issues village devices to the village apparatus.,the new gresik salam is more advanced and swiftly issues village devices to the village apparatus,new gresik salam more advanced swiftly issue village device village apparatus,new gresik salam advanced swiftly issue village device village apparatus
cak.manu,positif,Mantap. Keren👏,It's really cool!,it's really cool!,it s really cool,s really cool,s cool
sramasmdy,positif,Semoga Bandeng Gresik mendunia 🙌🔥,May Bandeng Gresik go international.,may bandeng gresik go international.,may bandeng gresik go international,bandeng gresik go international,bandeng gresik international
posriyan07,positif,Keren pak,"You're handsome, sir.","you're handsome, sir.",you re handsome  sir,handsome,handsome
pemkabgresik,positif,@posriyan07 🔥🔥👏gresik baru lebih maju,New Gresik is more advanced.,new gresik is more advanced.,new gresik is more advanced,new gresik more advanced,new gresik advanced
kang_darmanto,positif,Mantap DLH...sukses selalu...,Always be successful and excellent!,always be successful and excellent!,always be successful and excellent,always successful excellent,successful excellent
elia_ishartatisusanti,negatif,Pak ..protes PDAM bagaimana ya. sudah 3 hari tidak menyala. sudah komplain  tapi tidak ada tanggapan.. Mau bulan puasa ini .. Apa harus marah2 karena tidak ada air😢😢,"The PAM water protest, how come it's already been days since it hasn't been functioning, I've complained but there's no response, should I be angry because there's no water this Ramadan?","the pam water protest, how come it's already been days since it hasn't been functioning, i've complained but there's no response, should i be angry because there's no water this ramadan?",the pam water protest  how come it s already been days since it hasn t been functioning  i ve complained but there s no response  should i be angry because there s no water this ramadan,pam water protest come s already day hasn t function ve complain s response angry s water ramadan,pam water protest come s day hasn t function ve complain s response angry s water ramadan
viona3907,positif,Semoga kegiatan ini dapat dilanjutkan oleh masyarakat Gresik,May this activity be continued by the community of Gresik.,may this activity be continued by the community of gresik.,may this activity be continued by the community of gresik,activity continue community gresik,activity continue community gresik
posriyan07,positif,Keren,Beautiful.,beautiful.,beautiful,beautiful,beautiful
hisbullah.huda1,negatif,"Harus lebih berbenah. Pasar gresik msh nampak kumuh dgn pengendara yang dengan leluasa melawan arus. Jalan kh syafii dr pengangan ke arah sukomulyo rusak banyak lubang dan lebar jalan menyempit akibat proyek galian pipa yang asal asalan menambalnya, perlu diperbaiki lagi dan tindak tegas kontraktor, jangan asal mau hasilnya saja. Perlu kerjasama dgn aparat keamanan karena masih banyak begal dan pencurian.","The Gresik market road still looks slum-like, with drivers recklessly going against the flow of traffic, from Dr. Syafii's house to Sukomulyo, the road is damaged with many potholes and narrowing due to the careless pipelaying project, it needs to be fixed again and the contractor must be held accountable, not just rushing to get it done, a joint effort with security authorities is needed because there are still many thefts and robberies.","the gresik market road still looks slum-like, with drivers recklessly going against the flow of traffic, from dr. syafii's house to sukomulyo, the road is damaged with many potholes and narrowing due to the careless pipelaying project, it needs to be fixed again and the contractor must be held accountable, not just rushing to get it done, a joint effort with security authorities is needed because there are still many thefts and robberies.",the gresik market road still looks slum like  with drivers recklessly going against the flow of traffic  from dr  syafii s house to sukomulyo  the road is damaged with many potholes and narrowing due to the careless pipelaying project  it needs to be fixed again and the contractor must be held accountable  not just rushing to get it done  a joint effort with security authorities is needed because there are still many thefts and robberies,gresik market road still look slum driver recklessly go flow traffic dr syafii house sukomulyo road damage many pothole narrowing careless pipelaying project need fix again contractor hold accountable just rush get do joint effort security authority need still many theft robbery,gresik market road look slum driver recklessly flow traffic dr syafii house sukomulyo road damage pothole narrowing careless pipelaying project need fix contractor hold accountable rush joint effort security authority need theft robbery
ityonavy,negatif," inginnya wudhu nyatanya cuman bisa tayamum. Gara-gara @perumdagiritirta berdusta di awal bulan ramadhan janji perbaikan 2x24 jam, nyatanya?? 😂","Wanted to perform ablution, but could only do tayamum, because of lying at the beginning of Ramadan, promising improvement, but in fact, x hours later, the reality is...","wanted to perform ablution, but could only do tayamum, because of lying at the beginning of ramadan, promising improvement, but in fact, x hours later, the reality is...",wanted to perform ablution  but could only do tayamum  because of lying at the beginning of ramadan  promising improvement  but in fact  x hours later  the reality is,want perform ablution only tayamum lie beginning ramadan promise improvement fact hour later reality,want perform ablution tayamum lie beginning ramadan promise improvement fact hour later reality
ranggagitahomaya,negatif,"Marhaban Yaa Ramadhan Sucikan Diri, Bersihkan Hati Raih Ridho Ilahi... Marhaban Siltap semoga segera cair...","Welcoming Ramadan, purify the self, cleanse the heart, achieve divine blessings, welcome the holy month, may it come quickly.","welcoming ramadan, purify the self, cleanse the heart, achieve divine blessings, welcome the holy month, may it come quickly.",welcoming ramadan  purify the self  cleanse the heart  achieve divine blessings  welcome the holy month  may it come quickly,welcome ramadan purify self cleanse heart achieve divine blessing welcome holy month come quickly,welcome ramadan purify self cleanse heart achieve divine blessing welcome holy month come quickly
ladya234,negatif,Info cair bonus atlett minn? Tidak jadi ramadhan ceria begini ini,"It didn't turn out to be a merry Ramadan like this, but I got a bonus from Info Cair, Atlett Minn instead.","it didn't turn out to be a merry ramadan like this, but i got a bonus from info cair, atlett minn instead.",it didn t turn out to be a merry ramadan like this  but i got a bonus from info cair  atlett minn instead,didn t turn merry ramadan get bonus info cair atlett minn instead,didn t turn merry ramadan bonus info cair atlett minn instead
muhlasummufit_,positif,@audityaksa kita kuli pabrik brok😂,We cool the factory bro.,we cool the factory bro.,we cool the factory bro,cool factory bro,cool factory bro
ranggagitahomaya,negatif,"Harga ayam potong di Pasar Sangkapura 60.000/kg, ayolah siltap cair cair cair kasian barang² naik...","The price of chicken cuts at Sangkapore Market kg oh dear, the slippery slippery slippery prices are rising, poor thing, the goods are increasing.","the price of chicken cuts at sangkapore market kg oh dear, the slippery slippery slippery prices are rising, poor thing, the goods are increasing.",the price of chicken cuts at sangkapore market kg oh dear  the slippery slippery slippery prices are rising  poor thing  the goods are increasing,price chicken cut sangkapore market slippery slippery slippery price rise poor thing good increase,price chicken cut sangkapore market slippery slippery slippery price rise poor thing good increase
bung_arfa,positif,Super sekali ... Dipertahankan sebagai bentuk toleransi antar umat beragama wujud bhinneka tunggal Ika,"Must be strongly maintained as a form of inter-religious tolerance, embodying the unity in diversity philosophy.","must be strongly maintained as a form of inter-religious tolerance, embodying the unity in diversity philosophy.",must be strongly maintained as a form of inter religious tolerance  embodying the unity in diversity philosophy,strongly maintain form inter religious tolerance embody unity diversity philosophy,strongly maintain form inter religious tolerance embody unity diversity philosophy
a_alfarizy2,positif,"Tetap anggun dalam moral, unggul dalam intelektual ikatanku ❤️",Remain elegant in moral excellence with intellectual humility.,remain elegant in moral excellence with intellectual humility.,remain elegant in moral excellence with intellectual humility,remain elegant moral excellence intellectual humility,remain elegant moral excellence intellectual humility
moh_fredy_riyanto,positif,@a_alfarizy2 menyala abangku 🔥,Uncle Alfarizy has turned on the light.,uncle alfarizy has turned on the light.,uncle alfarizy has turned on the light,uncle alfarizy turn light,uncle alfarizy turn light
a_alfarizy2,positif,@moh_fredy_riyanto info arahanya kanda😂,Fredy Riyanto's information is headed in the direction of Arahanya Kanda.,fredy riyanto's information is headed in the direction of arahanya kanda.,fredy riyanto s information is headed in the direction of arahanya kanda,fredy riyanto information head direction arahanya kanda,fredy riyanto information head direction arahanya kanda
ellisoktaviani505,positif,selamat harlah IMM,Happy birthday to him/her.,happy birthday to him/her.,happy birthday to him her,happy birthday,happy birthday
firgantoro7687,positif,Gresik jalannya banyak yang mulus. lanjutkan Gus,"The road in Gresik is largely smooth, let's continue, Gus.","the road in gresik is largely smooth, let's continue, gus.",the road in gresik is largely smooth  let s continue  gus,road gresik largely smooth let continue gus,road gresik largely smooth let continue gus
atmaja7238,positif,Selamat dan sukses selalu menumbuhkan hal positif untuk Gresik,May you always cultivate positive things for Gresik with prosperity and success.,may you always cultivate positive things for gresik with prosperity and success.,may you always cultivate positive things for gresik with prosperity and success,always cultivate positive thing gresik prosperity success,cultivate positive thing gresik prosperity success
iramalika7,positif,IMM maju Gresik maju,Forward Gresik Forward.,forward gresik forward.,forward gresik forward,forward gresik,forward gresik
kambali999,positif,Selamat dan sukses selalu menumbuhkan hal positif untuk Gresik,May success and safety always cultivate positivity for Gresik.,may success and safety always cultivate positivity for gresik.,may success and safety always cultivate positivity for gresik,success safety always cultivate positivity gresik,success safety cultivate positivity gresik
anaaryani5,positif,Selamat dan sukses selalu menumbuhkan hal positif untuk Gresik,Success and good luck always nourish positive things for Gresik.,success and good luck always nourish positive things for gresik.,success and good luck always nourish positive things for gresik,success good luck always nourish positive thing gresik,success good luck nourish positive thing gresik
kaylahandayani87,positif,IMM maju Gresik maju,Forward Gresik Forward.,forward gresik forward.,forward gresik forward,forward gresik,forward gresik
azhar_romadlon,positif,Fastabiqul Khoirot❤️🖤,Accept the good things.,accept the good things.,accept the good things,accept good thing,accept good thing
immgresik,positif,Salam Faskho ❤‍🔥🔥,"Excuse me, sorry.","excuse me, sorry.",excuse me  sorry,excuse sorry,excuse sorry
zyn_rdh,positif,"Selamat Milad ikatanku❤️🔥 Ghiroh maroon, abadi perjuangan🔥❤️","Happy birthday to my dear Ghirorh, eternal struggle in the struggle for Maroon's abadi.","happy birthday to my dear ghirorh, eternal struggle in the struggle for maroon's abadi.",happy birthday to my dear ghirorh  eternal struggle in the struggle for maroon s abadi,happy birthday dear ghirorh eternal struggle struggle maroon abadi,happy birthday dear ghirorh eternal struggle struggle maroon abadi
ranggagitahomaya,positif,"Selamat Milad ke 60, kapan ada Pasar murah di Bawean khususnya di Sangkapura harga bahan pokok mulai naik ... @pemkabgresik @dprd_gresik @fandiakhmadyani dan @bumin.gresik ...","Happy birthday to when is there a cheap market in Bawean, especially in Sangkapura, the price of staple goods has started to rise in Gresik and Gresik.","happy birthday to when is there a cheap market in bawean, especially in sangkapura, the price of staple goods has started to rise in gresik and gresik.",happy birthday to when is there a cheap market in bawean  especially in sangkapura  the price of staple goods has started to rise in gresik and gresik,happy birthday cheap market bawean especially sangkapura price staple good start rise gresik gresik,happy birthday cheap market bawean especially sangkapura price staple good start rise gresik gresik
jefririskiyanda,positif,Salam Faskho ❤‍🔥,Excuse my mistake.,excuse my mistake.,excuse my mistake,excuse mistake,excuse mistake
ranggagitahomaya,positif,Kapan ada Pasar murah di Bawean khususnya di Sangkapura harga bahan pokok mulai naik @pemkabgresik @dprd_gresik @fandiakhmadyani dan @bumin.gresik dan janganlah lupa dengan siltap para Perangkat Desa belum diterima loh...,"When will there be an affordable market in Bawean, specifically in Sangkapura, as the prices of staple goods have started to rise in Gresik and Gresik, and don't forget that the village apparatus have not received their salaries yet.","when will there be an affordable market in bawean, specifically in sangkapura, as the prices of staple goods have started to rise in gresik and gresik, and don't forget that the village apparatus have not received their salaries yet.",when will there be an affordable market in bawean  specifically in sangkapura  as the prices of staple goods have started to rise in gresik and gresik  and don t forget that the village apparatus have not received their salaries yet,affordable market bawean specifically sangkapura price staple good start rise gresik gresik don t forget village apparatus receive salary yet,affordable market bawean specifically sangkapura price staple good start rise gresik gresik don t forget village apparatus receive salary
indrsigit,positif,"Apakah ada pasar murah Bu,,,sekitar Kec Menganti",Is there a cheap market around Kecamatan Menganti?,is there a cheap market around kecamatan menganti?,is there a cheap market around kecamatan menganti,cheap market kecamatan menganti,cheap market kecamatan menganti
kateringwk,positif,Mantab,"The sentence ""mantab"" translates to ""Awesome"" or ""Cool"".","the sentence ""mantab"" translates to ""awesome"" or ""cool"".",the sentence  mantab  translates to  awesome  or  cool,sentence mantab translate awesome cool,sentence mantab translate awesome cool
ir.siti_muafiyah,positif,Belanja o rek....,Let's go shopping!,let's go shopping!,let s go shopping,let go shop,let shop
ayunanifa,positif,kalau mau naik apakah masih tetap pakai barcode ta min?,"If you want to get on, do you still need to use the barcode or not?","if you want to get on, do you still need to use the barcode or not?",if you want to get on  do you still need to use the barcode or not,want get still need use barcode,want need use barcode
ayuenieindra,positif,Cara daftarnya bagaimana??,How do I register?,how do i register?,how do i register,register,register
pemkabgresik,positif,"@ayuenieindra halo kak, daftarnya langsung melalui website dinas parekraf ya kak (www.disparekrafbudpora.gresikkab.go.id )","You can register directly through the Disparekraf Budpora Gresik regency's website, yes.","you can register directly through the disparekraf budpora gresik regency's website, yes.",you can register directly through the disparekraf budpora gresik regency s website  yes,register directly disparekraf budpora gresik regency website,register directly disparekraf budpora gresik regency website
pemkabgresik,positif, iya kak masih menggunakan barcode,Mother still uses a barcode.,mother still uses a barcode.,mother still uses a barcode,mother still use barcode,mother use barcode
ranggagitahomaya,positif,"Di Pulau khususnya di Pasar Sangkapura bahan² pokok naik,apalagi ditambah cuaca buruk gak adanya kapal penyebrangan harga bahan pokok tambah naik...","Especially on the island, in the Sangkapura market, the price of staple goods has increased, and with the bad weather, the lack of ferryboats has caused the price of staple goods to rise even higher.","especially on the island, in the sangkapura market, the price of staple goods has increased, and with the bad weather, the lack of ferryboats has caused the price of staple goods to rise even higher.",especially on the island  in the sangkapura market  the price of staple goods has increased  and with the bad weather  the lack of ferryboats has caused the price of staple goods to rise even higher,especially island sangkapura market price staple good increase bad weather lack ferryboat cause price staple good rise even high,especially island sangkapura market price staple good increase bad weather lack ferryboat cause price staple good rise high
mrsakiko2024,positif,"min mohon d sampaikan dong untuk ADD ini bagaimana tolong segera di tindaklanjuti untuk di cairkan ,, gaji para perangkat desa karna berkas sudah pada di kirim","I request that you immediately follow up on adding this so that the salaries of the village officials can be disbursed, as the files have already been sent.","i request that you immediately follow up on adding this so that the salaries of the village officials can be disbursed, as the files have already been sent.",i request that you immediately follow up on adding this so that the salaries of the village officials can be disbursed  as the files have already been sent,request immediately follow add salary village official disburse file already send,request immediately follow add salary village official disburse file send
santoso_firdaus,positif,Untuk tujuan Gresik - Madiun - Magetan ada tidak min,"Is there a route to Gresik, Madiun, and Magetan or not?","is there a route to gresik, madiun, and magetan or not?",is there a route to gresik  madiun  and magetan or not,route gresik madiun magetan,route gresik madiun magetan
ranggagitahomaya,negatif,"Mudik agar Siltap para Perangkat Desa agar cepat cair,ada tidak min?","Mudik so that village devices can quickly disburse, is there not a hindrance?","mudik so that village devices can quickly disburse, is there not a hindrance?",mudik so that village devices can quickly disburse  is there not a hindrance,mudik village device quickly disburse hindrance,mudik village device quickly disburse hindrance
mrsakiko2024,positif,@ranggagitahomaya setuju 3 bulan masih menunggu @pemkabgresik info nya dong min,"I agree, we are still waiting for the information, right, Dong Min?","i agree, we are still waiting for the information, right, dong min?",i agree  we are still waiting for the information  right  dong min,agree still wait information right dong min,agree wait information right dong min
mrsakiko2024,negatif,Info siltap para perangkat desa cepat cair bagaimana min ? nunggu apa lagi ini min @pemkabgresik,"How to tap into village device funds quickly, what's the wait, what's the hold up already?","how to tap into village device funds quickly, what's the wait, what's the hold up already?",how to tap into village device funds quickly  what s the wait  what s the hold up already,tap village device fund quickly s wait s hold already,tap village device fund quickly s wait s hold
ranggagitahomaya,negatif,@mrsakiko2024 udah 3 bulan setengah siltap belum nampak pergerakannya 😂😂,"It has been half a month, but his movement has not been seen.","it has been half a month, but his movement has not been seen.",it has been half a month  but his movement has not been seen,month movement see,month movement
syalu_u,negatif,@ranggagitahomaya H2C itu kepanjangan Harap Harap Cairan yaaa 🤭 senggol @pemkabgresik,"Here is the translation:

""I hope it is liquid hope, then it touches.""","here is the translation:

""i hope it is liquid hope, then it touches.""","here is the translation 

 i hope it is liquid hope  then it touches",here translation hope liquid hope then touch,translation hope liquid hope touch
mrsakiko2024,negatif," betul kira"" kapan yaaaa masak harus nunggu hari raya 😮senggol @pemkabgresik agar segera di tindaklanjuti dan semoga segera dicairkan",It is true that the calculation must wait until the festive day to be immediately followed up and hopefully settled soon.,it is true that the calculation must wait until the festive day to be immediately followed up and hopefully settled soon.,it is true that the calculation must wait until the festive day to be immediately followed up and hopefully settled soon,true calculation wait festive day immediately follow hopefully settle soon,true calculation wait festive day immediately follow hopefully settle soon
ranggagitahomaya,positif,@mrsakiko2024 kasian para Perangkat Desa klo cairnya sampai hari raya 😢😢,Pity the village devices if they break down until the holiday.,pity the village devices if they break down until the holiday.,pity the village devices if they break down until the holiday,pity village device break holiday,pity village device break holiday
hartono6075,positif,Untuk mudik ke Bawean?,to return to Bawean,to return to bawean,to return to bawean,return bawean,return bawean
riyanti_viva,positif,Min.. klo pake domisili kelurahan bisa gak min..,Can I live in the village neighborhood or not?,can i live in the village neighborhood or not?,can i live in the village neighborhood or not,live village neighborhood,live village neighborhood
tantulsan,positif,Mudik Dari luar gresik ke gresik kok g ada min,"Returning to Gresik from outside Gresik, why is there no toll?","returning to gresik from outside gresik, why is there no toll?",returning to gresik from outside gresik  why is there no toll,return gresik outside gresik toll,return gresik outside gresik toll
_____yenee_____,positif,gus yani.. bu min... gresik ke semarang di ada kan juga to bu.. aku sekarang jadi warga gresik.. mau mudik ke kota kelahiran ku ungaran 😢,"I'm Gus, born in Gresik, but now I live in Semarang, and I'll return to my hometown, Ungaran, because I want to go back to my birthplace during the holiday season.","i'm gus, born in gresik, but now i live in semarang, and i'll return to my hometown, ungaran, because i want to go back to my birthplace during the holiday season.",i m gus  born in gresik  but now i live in semarang  and i ll return to my hometown  ungaran  because i want to go back to my birthplace during the holiday season,m gus bear gresik now live semarang return hometown ungaran want go back birthplace holiday season,m gus bear gresik live semarang return hometown ungaran want birthplace holiday season
effhie_elhamizah,positif,Makannya enak sekali. jadi pengen..,"The food is delicious, so I want it.","the food is delicious, so i want it.",the food is delicious  so i want it,food delicious so want,food delicious want
rheinev,positif," harap sabar, sedikit lagi buka puasa mbak pik😂","Please be patient, we'll break the fast soon, ma'am.","please be patient, we'll break the fast soon, ma'am.",please be patient  we ll break the fast soon  ma am,patient break fast soon ma,patient break fast soon ma
hanyhuni,positif,Ku kira telur dugonf ini tadi mbak 😂,"I just boiled these eggs for you, ma'am.","i just boiled these eggs for you, ma'am.",i just boiled these eggs for you  ma am,just boil egg ma,boil egg ma
yasmin.megarini,positif,enak banget ini 😋😋,This is really delicious.,this is really delicious.,this is really delicious,really delicious,delicious
brobeque,positif,enaknya😍,The most delicious.,the most delicious.,the most delicious,most delicious,delicious
culinaryzta,positif,untung saya lihatnya pas sudah buka puasa min😢,It's fortunate that I saw him just as he was about to break his fast.,it's fortunate that i saw him just as he was about to break his fast.,it s fortunate that i saw him just as he was about to break his fast,s fortunate see just about break fast,s fortunate break fast
pimpi.id,positif,masyaAllah tabarakallah😍,"God has blessed, God is blessed.","god has blessed, god is blessed.",god has blessed  god is blessed,god bless god bless,god bless god bless
ranggagitahomaya,negatif,"Icip-icip takjil emang enak kalo ada duitnya, siltap para Perangkat Desa cepetan dicairkan Puasa Ramadhan mau jalan 6 hari @pemkabgresik @dprd_gresik @fandiakhmadyani @bumin.gresik","It's delicious to have takjil if there's money, hopefully the village apparatus can disburse the Ramadan allowance quickly, I'm planning to go to Gresik Gresik tomorrow.","it's delicious to have takjil if there's money, hopefully the village apparatus can disburse the ramadan allowance quickly, i'm planning to go to gresik gresik tomorrow.",it s delicious to have takjil if there s money  hopefully the village apparatus can disburse the ramadan allowance quickly  i m planning to go to gresik gresik tomorrow,s delicious takjil s money hopefully village apparatus disburse ramadan allowance quickly m plan go gresik gresik tomorrow,s delicious takjil s money hopefully village apparatus disburse ramadan allowance quickly m plan gresik gresik tomorrow
firdadian,positif,bisa gak sih gak bikin ngiler 😔,Can it not be made not to be disturbing?,can it not be made not to be disturbing?,can it not be made not to be disturbing,make disturb,disturb
tookeyrun,positif,"seru banget min, info min jam segini jual atau tidak ya?","This is extremely cheap, is the information correct, is it for sale at this price or not, yes?","this is extremely cheap, is the information correct, is it for sale at this price or not, yes?",this is extremely cheap  is the information correct  is it for sale at this price or not  yes,extremely cheap information correct sale price,extremely cheap information correct sale price
effhie_elhamizah,positif, itu yang adzan abil gak sih?,"Is that the call to prayer, or not?","is that the call to prayer, or not?",is that the call to prayer  or not,call prayer,prayer
rheinev,positif, buka mbak emang adzan dari masjid beneran😂,"Open, sister, the call to prayer from the mosque is indeed genuine.","open, sister, the call to prayer from the mosque is indeed genuine.",open  sister  the call to prayer from the mosque is indeed genuine,open sister call prayer mosque indeed genuine,open sister prayer mosque genuine
ranggagitahomaya,negatif,Infonya siltap para Perangkat Desa kapan cairnya? 😢😢😢 @pemkabgresik @dprd_gresik @fandiakhmadyani @bumin.gresik,"Information on the installation of village devices, when will the Gresik Gresik funding be disbursed?","information on the installation of village devices, when will the gresik gresik funding be disbursed?",information on the installation of village devices  when will the gresik gresik funding be disbursed,information installation village device gresik gresik funding disburse,information installation village device gresik gresik funding disburse
kodeer21,negatif,Jalan balongpanggang ke barat dari kedungsumber Sampek mbabatan mojopuro berlubang &bergelombang tolong di prioritaskan !,"The road from Kedungsumber to Mbabatan, Mojopuro, which is damaged and hilly, please prioritize its repair.","the road from kedungsumber to mbabatan, mojopuro, which is damaged and hilly, please prioritize its repair.",the road from kedungsumber to mbabatan  mojopuro  which is damaged and hilly  please prioritize its repair,road kedungsumber mbabatan mojopuro damage hilly prioritize repair,road kedungsumber mbabatan mojopuro damage hilly prioritize repair
ky_rizky2078,positif,Maaf min jalan raya menganti timur perbatasan Lakarsantri jalannya banyak berlubang mohon segera di perbaiki,"I apologize for the rough road from the Eastern Border of Lakarsantri, which has many potholes, and kindly request that it be repaired as soon as possible.","i apologize for the rough road from the eastern border of lakarsantri, which has many potholes, and kindly request that it be repaired as soon as possible.",i apologize for the rough road from the eastern border of lakarsantri  which has many potholes  and kindly request that it be repaired as soon as possible,apologize rough road eastern border lakarsantri many pothole kindly request repair as soon possible,apologize rough road eastern border lakarsantri pothole kindly request repair soon possible
indira_prasdisty,negatif,Ruang benjeng-duduk sampeyan jalan nya rusak parah lama gak ada perbaikan. Cek aja langsung ke lokasi biar tau separah apa,"The damaged road has been in a severe state of disrepair for a long time without any improvement, just take a direct look at the location to see how severe it is.","the damaged road has been in a severe state of disrepair for a long time without any improvement, just take a direct look at the location to see how severe it is.",the damaged road has been in a severe state of disrepair for a long time without any improvement  just take a direct look at the location to see how severe it is,damage road severe state disrepair long time improvement just take direct look location see severe,damage road severe state disrepair long time improvement direct look location severe
_dikaka_,positif,"Pasar Menganti ya ada min , sampai arah timur",There is already a market opposite the way to the east.,there is already a market opposite the way to the east.,there is already a market opposite the way to the east,already market way east,market way east
noe.rockman,positif,Depan new era apa tak ada pengaspalan. Jalan berkerikil dan berdebu.,"In the new era, why aren't there any asphalt roads, only gravel and dusty roads?","in the new era, why aren't there any asphalt roads, only gravel and dusty roads?",in the new era  why aren t there any asphalt roads  only gravel and dusty roads,new era aren t asphalt road only gravel dusty road,new era aren t asphalt road gravel dusty road
bawean_mbois,negatif,Mohon lakukan perbaikan di Bawean dulu pak,"Please make the necessary improvements in Bawean first, sir.","please make the necessary improvements in bawean first, sir.",please make the necessary improvements in bawean first  sir,make necessary improvement bawean first,necessary improvement bawean
st.budi27,positif,Alhamdulillah.. Semoga membawa keberkahan untuk masyarakat Gresik aamiin,"Praise be to God, may it bring blessings to the people of Gresik, amen.","praise be to god, may it bring blessings to the people of gresik, amen.",praise be to god  may it bring blessings to the people of gresik  amen,praise god bring blessing people gresik aman,praise god bring blessing people gresik aman
rochmadaristia,positif,"Mohon ijin usul saja, mungkin di siapkan kantong2 parkir,sehingga sepanjang jl Hos Cokroaminoto steril dari pengendara.","I respectfully request that a parking lot be prepared along Jl. HOS Cokroaminoto, thereby keeping the entire road free from vehicles.","i respectfully request that a parking lot be prepared along jl. hos cokroaminoto, thereby keeping the entire road free from vehicles.",i respectfully request that a parking lot be prepared along jl  hos cokroaminoto  thereby keeping the entire road free from vehicles,respectfully request parking lot prepare jl hos cokroaminoto thereby keep entire road free vehicle,respectfully request parking lot prepare jl hos cokroaminoto entire road free vehicle
ranggagitahomaya,negatif,"Ya Allah sudah bahan pokok naik di Bawean, ditambah cobaan lagi Pertalite langka? Yang gak becus siapa sih? 😢😢","Oh God, the basic necessities have increased in price on Bawean Island, and to make matters worse, Pertalite is scarce, what's wrong with those who are incapable?","oh god, the basic necessities have increased in price on bawean island, and to make matters worse, pertalite is scarce, what's wrong with those who are incapable?",oh god  the basic necessities have increased in price on bawean island  and to make matters worse  pertalite is scarce  what s wrong with those who are incapable,basic necessity increase price bawean island make matter bad pertalite scarce s wrong incapable,basic necessity increase price bawean island matter bad pertalite scarce s wrong incapable
